0,0,-0.10472
0.001,-0.00066,0.10472
0.002,0,0
0.003,-0.00066,0.10472
0.004,-0.00066,0
0.005,0,0
0.006,0.00132,0
0.007,0.00132,0
0.008,0.00198,0
0.009,0.00264,0
0.01,0.0033,-0.10472
0.011,0.00396,0
0.012,0.00594,0
0.013,0.00726,0
0.014,0.00792,0
0.015,0.00858,-0.10472
0.016,0.00924,0
0.017,0.01056,0
0.018,0.01188,0
0.019,0.01386,0.10472
0.02,0.0132,0.314159
0.021,0.01452,0.942478
0.022,0.01518,1.67552
0.023,0.01584,2.61799
0.024,0.01782,4.18879
0.025,0.01782,5.75959
0.026,0.01914,7.64454
0.027,0.0198,9.5295
0.028,0.02046,11.4145
0.029,0.02112,13.5088
0.03,0.02178,15.6032
0.031,0.02244,17.8024
0.032,0.02376,20.1062
0.033,0.0264,22.41
0.034,0.02706,25.028
0.035,0.02772,27.8555
0.036,0.02904,30.5782
0.037,0.0297,33.8245
0.038,0.03168,36.9661
0.039,0.03234,40.3171
0.04,0.033,43.6681
0.041,0.03366,47.0192
0.042,0.03432,50.3702
0.043,0.03498,53.7212
0.044,0.03564,57.0723
0.045,0.0363,60.4233
0.046,0.03696,63.7743
0.047,0.03564,67.2301
0.048,0.03564,70.267
0.049,0.03432,73.9321
0.05,0.0396,77.3879
0.051,0.0462,81.5767
0.052,0.0462,86.3938
0.053,0.04818,90.8967
0.054,0.04554,95.1903
0.055,0.04818,99.5885
0.056,0.05082,104.091
0.057,0.04818,108.699
0.058,0.05082,113.307
0.059,0.05346,118.333
0.06,0.05082,123.15
0.061,0.05214,128.177
0.062,0.05412,133.413
0.063,0.05214,138.858
0.064,0.05676,144.409
0.065,0.05478,150.168
0.066,0.05808,155.299
0.067,0.05874,161.373
0.068,0.05874,167.447
0.069,0.06072,173.416
0.07,0.05874,179.28
0.071,0.06006,184.83
0.072,0.06336,190.485
0.073,0.06072,195.198
0.074,0.06402,201.795
0.075,0.06204,207.45
0.076,0.06732,213.419
0.077,0.06468,219.702
0.078,0.06402,225.985
0.079,0.07062,232.687
0.08,0.06798,239.18
0.081,0.0693,245.882
0.082,0.07062,252.479
0.083,0.07062,259.391
0.084,0.07062,266.302
0.085,0.06996,272.9
0.086,0.07326,278.764
0.087,0.0759,284.628
0.088,0.07524,290.597
0.089,0.07458,296.462
0.09,0.07194,303.164
0.091,0.0726,309.97
0.092,0.07326,316.882
0.093,0.07458,324.108
0.094,0.07788,331.752
0.095,0.07656,338.873
0.096,0.07854,343.69
0.097,0.0792,350.078
0.098,0.07986,356.466
0.099,0.0792,363.063
0.1,0.07986,370.184
0.101,0.07854,377.41
0.102,0.0792,385.159
0.103,0.07986,392.909
0.104,0.0792,399.296
0.105,0.08448,404.532
0.106,0.08316,410.816
0.107,0.08184,417.099
0.108,0.08052,424.324
0.109,0.08118,431.655
0.11,0.08712,439.823
0.111,0.08316,447.572
0.112,0.08184,452.704
0.113,0.0858,458.673
0.114,0.08316,464.851
0.115,0.0825,472.077
0.116,0.08646,479.826
0.117,0.08316,488.203
0.118,0.08316,494.906
0.119,0.08778,499.618
0.12,0.08514,504.644
0.121,0.08382,511.661
0.122,0.08382,518.991
0.123,0.08976,527.159
0.124,0.08514,535.327
0.125,0.08382,539.307
0.126,0.08382,544.857
0.127,0.08382,552.606
0.128,0.08382,560.355
0.129,0.08448,568
0.13,0.08448,572.608
0.131,0.08448,577.215
0.132,0.08316,583.498
0.133,0.0858,590.619
0.134,0.08844,598.264
0.135,0.08514,606.223
0.136,0.08316,610.411
0.137,0.08184,614.496
0.138,0.08184,621.093
0.139,0.08118,629.052
0.14,0.08184,636.696
0.141,0.08382,639.209
0.142,0.0825,644.131
0.143,0.08316,651.252
0.144,0.0858,658.478
0.145,0.08316,665.808
0.146,0.08316,669.159
0.147,0.0825,675.547
0.148,0.08184,681.935
0.149,0.08052,688.428
0.15,0.08118,692.931
0.151,0.0792,694.92
0.152,0.07854,701.413
0.153,0.07854,708.115
0.154,0.07854,715.55
0.155,0.07854,718.168
0.156,0.07788,721.624
0.157,0.0759,728.012
0.158,0.0759,735.761
0.159,0.07392,738.17
0.16,0.07194,740.473
0.161,0.07128,745.29
0.162,0.07062,750.108
0.163,0.06996,754.925
0.164,0.0693,759.742
0.165,0.06996,764.664
0.166,0.07128,770.737
0.167,0.07194,776.811
0.168,0.06996,780.057
0.169,0.06864,783.199
0.17,0.06666,789.482
0.171,0.06402,794.404
0.172,0.06336,794.823
0.173,0.06072,799.221
0.174,0.06006,805.923
0.175,0.0627,809.065
0.176,0.06006,808.541
0.177,0.05478,813.568
0.178,0.05676,819.118
0.179,0.05346,822.469
0.18,0.05412,821.945
0.181,0.05676,825.925
0.182,0.05346,832.313
0.183,0.0528,832.417
0.184,0.04818,833.15
0.185,0.04818,837.444
0.186,0.05214,842.785
0.187,0.04884,842.785
0.188,0.0462,842.785
0.189,0.0429,847.916
0.19,0.04488,851.057
0.191,0.04488,848.23
0.192,0.03894,851.476
0.193,0.03828,855.351
0.194,0.03696,856.608
0.195,0.04158,854.199
0.196,0.03564,856.922
0.197,0.03366,860.901
0.198,0.03366,857.864
0.199,0.03366,858.493
0.2,0.03366,860.901
0.201,0.0297,863.938
0.202,0.03036,859.854
0.203,0.02904,860.273
0.204,0.03036,864.147
0.205,0.02838,862.786
0.206,0.02442,859.435
0.207,0.02508,861.634
0.208,0.02508,863.833
0.209,0.02178,860.901
0.21,0.01914,858.074
0.211,0.01716,860.273
0.212,0.01716,858.702
0.213,0.01716,857.131
0.214,0.01716,855.56
0.215,0.01716,853.99
0.216,0.01716,852.419
0.217,0.01716,850.848
0.218,0.01716,849.277
0.219,0.01716,847.706
0.22,0.01716,846.136
0.221,0.0165,844.46
0.222,0.01584,845.298
0.223,0.01518,846.031
0.224,0.01386,840.062
0.225,0.00594,838.282
